"x","Y","piece"
0,3.05795253072607,"956_Ia"
4.724,2.92071220862634,"956_Ia"
9.448,2.90436262575531,"956_Ia"
14.172,2.77173865646623,"956_Ia"
18.896,2.68046951443915,"956_Ia"
23.62,2.68046951443915,"956_Ia"
28.344,2.68046951443915,"956_Ia"
33.068,2.68046951443915,"956_Ia"
37.792,2.54717232703184,"956_Ia"
42.516,2.54717232703184,"956_Ia"
47.24,2.42935915634357,"956_Ia"
51.964,2.54717232703184,"956_Ia"
56.688,2.42935915634357,"956_Ia"
61.412,2.42935915634357,"956_Ia"
66.136,2.42935915634357,"956_Ia"
70.86,2.31423885812817,"956_Ia"
75.584,2.38050275576427,"956_Ia"
80.308,2.25980436456934,"956_Ia"
85.032,2.17353627142046,"956_Ia"
89.756,2.17353627142046,"956_Ia"
94.48,2.41262487740499,"956_Ia"
99.204,2.41262487740499,"956_Ia"
103.928,2.32077869127658,"956_Ia"
108.652,2.37569405491985,"956_Ia"
113.376,2.13660544893532,"956_Ia"
118.1,2.13660544893532,"956_Ia"
122.824,2.00975192065953,"956_Ia"
127.548,1.80268926229884,"956_Ia"
132.272,2.0646672843028,"956_Ia"
136.996,1.80268926229884,"956_Ia"
141.72,1.65621623457782,"956_Ia"
146.444,1.56177334999342,"956_Ia"
151.168,1.45165410065622,"956_Ia"
155.892,1.24632257459951,"956_Ia"
160.616,1.43953617452828,"956_Ia"
165.34,1.20285191896596,"956_Ia"
170.064,1.43953617452828,"956_Ia"
174.788,1.11042868873622,"956_Ia"
179.512,1.11042868873622,"956_Ia"
184.236,1.02887312241487,"956_Ia"
188.96,1.02887312241487,"956_Ia"
193.684,1.02887312241487,"956_Ia"
198.408,1.18727172823004,"956_Ia"
203.132,1.58456659199597,"956_Ia"
207.856,1.58456659199597,"956_Ia"
212.58,1.58456659199597,"956_Ia"
217.304,1.58456659199597,"956_Ia"
222.028,1.71959491170727,"956_Ia"
226.752,1.71959491170727,"956_Ia"
231.476,1.81721153884898,"956_Ia"
236.2,1.67112320719552,"956_Ia"
240.924,1.67112320719552,"956_Ia"
245.648,1.33124423151196,"956_Ia"
250.372,1.33124423151196,"956_Ia"
255.096,1.24266796195775,"956_Ia"
259.82,1.18063572106474,"956_Ia"
264.544,0.945490249772637,"956_Ia"
269.268,0.817771155344858,"956_Ia"
273.992,0.817771155344858,"956_Ia"
278.716,0.817771155344858,"956_Ia"
283.44,0.70851747215965,"956_Ia"
288.164,0.837198306756313,"956_Ia"
292.888,0.70851747215965,"956_Ia"
297.612,0.653890630567046,"956_Ia"
302.336,0.591762215657147,"956_Ia"
307.06,0.653890630567046,"956_Ia"
311.784,0.653890630567046,"956_Ia"
316.508,0.591762215657147,"956_Ia"
321.232,0.591762215657147,"956_Ia"
325.956,0.591762215657147,"956_Ia"
330.68,0.604457185886415,"956_Ia"
335.404,0.591762215657147,"956_Ia"
340.128,0.595993872400236,"956_Ia"
344.852,0.6584108093608,"956_Ia"
349.576,0.6584108093608,"956_Ia"
354.3,0.518669962821973,"956_Ia"
359.024,0.366330320070767,"956_Ia"
363.748,0.366330320070767,"956_Ia"
368.472,0.518669962821973,"956_Ia"
373.196,0.366330320070767,"956_Ia"
377.92,0.366330320070767,"956_Ia"
382.644,0.568391929553269,"956_Ia"
387.368,0.366330320070767,"956_Ia"
392.092,0.147919127717239,"956_Ia"
396.816,-0.0776089418860301,"956_Ia"
401.54,-0.144738405674125,"956_Ia"
406.264,-0.144738405674125,"956_Ia"
410.988,-0.144738405674125,"956_Ia"
415.712,-0.144738405674125,"956_Ia"
420.436,-0.144738405674125,"956_Ia"
425.16,-0.268802887460144,"956_Ia"
429.884,-0.415949133299378,"956_Ia"
434.608,-0.294192827918679,"956_Ia"
439.332,-0.371237832847966,"956_Ia"
444.056,-0.368929656442645,"956_Ia"
448.78,-0.664558966955859,"956_Ia"
453.504,-0.536618672289237,"956_Ia"
458.228,-0.664558966955859,"956_Ia"
462.952,-0.664558966955859,"956_Ia"
467.676,-0.740594144707819,"956_Ia"
472.4,-0.772725883750229,"956_Ia"
477.124,-0.605748555628611,"956_Ia"
481.848,-0.605748555628611,"956_Ia"
486.572,-0.605748555628611,"956_Ia"
491.296,-0.605748555628611,"956_Ia"
496.02,-0.462651235900379,"956_Ia"
500.744,-0.629628564021997,"956_Ia"
505.468,-0.418064961670922,"956_Ia"
510.192,-0.42354688063356,"956_Ia"
514.916,-0.394117631465714,"956_Ia"
519.64,-0.394117631465714,"956_Ia"
524.364,-0.382672923455995,"956_Ia"
529.088,-0.42354688063356,"956_Ia"
533.812,-0.42354688063356,"956_Ia"
538.536,-0.536378237247017,"956_Ia"
543.26,-0.512430907041808,"956_Ia"
547.984,-0.382672923455995,"956_Ia"
552.708,-0.512430907041808,"956_Ia"
557.432,-0.495504280069452,"956_Ia"
562.156,-0.718070189952558,"956_Ia"
566.88,-0.495504280069452,"956_Ia"
571.604,-0.58231094771291,"956_Ia"
576.328,-0.550525435131298,"956_Ia"
581.052,-0.446013130978688,"956_Ia"
585.776,-0.446013130978688,"956_Ia"
590.5,-0.550525435131298,"956_Ia"
595.224,-0.598025782072473,"956_Ia"
599.948,-0.598025782072473,"956_Ia"
604.672,-0.648594080152387,"956_Ia"
609.396,-0.648594080152387,"956_Ia"
614.12,-0.778717525002375,"956_Ia"
618.844,-0.874958863702585,"956_Ia"
623.568,-0.905503731466337,"956_Ia"
628.292,-0.93189388170051,"956_Ia"
633.016,-0.93189388170051,"956_Ia"
637.74,-1.03769491767943,"956_Ia"
642.464,-1.03769491767943,"956_Ia"
647.188,-1.03769491767943,"956_Ia"
651.912,-1.03769491767943,"956_Ia"
656.636,-1.1515457188719,"956_Ia"
661.36,-1.1515457188719,"956_Ia"
666.084,-1.1515457188719,"956_Ia"
670.808,-1.11928895360753,"956_Ia"
675.532,-1.11928895360753,"956_Ia"
680.256,-1.11928895360753,"956_Ia"
684.98,-0.995387967650224,"956_Ia"
689.704,-0.940462986605266,"956_Ia"
694.428,-0.940462986605266,"956_Ia"
699.152,-0.940462986605266,"956_Ia"
703.876,-0.940462986605266,"956_Ia"
708.6,-0.940462986605266,"956_Ia"
713.324,-1.00906391285175,"956_Ia"
718.048,-1.03596378537543,"956_Ia"
722.772,-1.00906391285175,"956_Ia"
727.496,-1.03596378537543,"956_Ia"
732.22,-1.06592199163617,"956_Ia"
736.944,-1.06592199163617,"956_Ia"
