"whale_index","Elapsed_DIV_Time","Sr_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_188",3.15527296066284,0.000995143100070835,1,0.000208679735958659,1.32904260908092
"SMP_188",6.30956983566284,0.000885359480660626,2,9.96452995565043e-05,0.634622467279057
"SMP_188",9.46484398841858,0.000775575861250417,3,-9.39136499230611e-06,-0.0598118651763984
"SMP_188",12.6201169490814,0.000797264512171009,4,1.30417819867399e-05,0.0830606952759186
"SMP_188",15.7744138240814,0.000691232147571871,5,-9.22487721241518e-05,-0.587515353252519
"SMP_188",18.9296867847443,0.000665941249665303,6,-0.000116800083891235,-0.743878113140941
"SMP_188",22.0849609375,0.000617378210675428,7,-0.000164625988621846,-1.04847244719463
"SMP_188",25.2402338981628,0.000637086187721484,8,-0.000144183327632851,-0.918276923548991
"SMP_188",28.3935549259186,0.000529131336948313,9,-0.000251406394603303,-1.60116078874757
"SMP_188",31.5488278865814,0.000539731759622145,10,-0.000240076180186207,-1.52900075049006
"SMP_188",34.7041008472443,0.000574364185355976,11,-0.000204716406385113,-1.30380089668908
"SMP_188",37.8583979606628,0.000589578932563045,12,-0.000188776976484178,-1.20228561823867
"SMP_188",41.013671875,0.000561532541964711,13,-0.000216100899032452,-1.37630662294743
"SMP_188",44.1689448356628,0.000588560485006267,14,-0.000188352925473552,-1.19958491584916
"SMP_188",47.3242189884186,0.000570814845742977,15,-0.000205380969141933,-1.30803337386835
"SMP_188",50.4785158634186,0.000591519070944675,16,-0.000183961802548988,-1.17161866679461
"SMP_188",53.6337888240814,0.000562309980429001,17,-0.000212458161013144,-1.35310669881901
"SMP_188",56.7890617847443,0.000570550297739106,18,-0.000203507540482593,-1.2961018535322
"SMP_188",59.9433588981628,0.000581673278092296,19,-0.000191676902172765,-1.22075470813662
"SMP_188",63.0986328125,0.000612896271689955,20,-0.000159748455691737,-1.01740834285536
"SMP_188",66.2529299259186,0.00063352231184249,21,-0.000138419602393913,-0.88156882444012
"SMP_188",69.4082028865814,0.000652206712359483,22,-0.000119034591276127,-0.758109277039941
"SMP_188",72.5625,0.000683227163198465,23,-8.73161636241542e-05,-0.556100482803813
"SMP_188",75.7177729606628,0.000611174992484446,24,-0.000158672557325426,-1.01055614532263
"SMP_188",78.873046875,0.000608234181526418,25,-0.000160920005048304,-1.02486972383884
"SMP_188",82.0273439884186,0.00060274029972292,26,-0.000165723149013823,-1.05546005863296
"SMP_188",85.1826169490814,0.000584905966787413,27,-0.000182868939790087,-1.1646584261858
"SMP_188",88.3378908634186,0.000618175153984763,28,-0.000148913617851255,-0.948403266313886
"SMP_188",91.4931638240814,0.000612074042244028,29,-0.000154331000562142,-0.982905573973953
"SMP_188",94.6474609375,0.000670504336418611,30,-9.52195910864211e-05,-0.606435949287314
"SMP_188",97.8027338981628,0.000778946905605802,31,1.39019032278392e-05,0.0885386482412366
"SMP_188",100.9580078125,0.000724301269825866,32,-4.0067206362781e-05,-0.25518062038148
"SMP_188",104.113280773163,0.000687094127625879,33,-7.66002195992706e-05,-0.487852618965142
"SMP_188",107.266600847244,0.000675363232606303,34,-8.7659795570173e-05,-0.558289011057418
"SMP_188",110.421875,0.0006655504241923,35,-9.68032609672245e-05,-0.616522049600968
