"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_157",6.31054997444153,1.50110614615987e-05,1,3.83210245227724e-06,1.96950325708652
"SMP_157",9.46483993530273,1.49341405827453e-05,2,3.76726868474013e-06,1.93618204035923
"SMP_157",12.6210899353027,1.3988731708332e-05,3,2.83394776336152e-06,1.45650316500196
"SMP_157",15.7753899097443,1.58778428768572e-05,4,4.73513262820819e-06,2.43361424965316
"SMP_157",18.9296898841858,1.56383308510048e-05,5,4.5076873889461e-06,2.31671911307628
"SMP_157",22.0859398841858,1.71203587485171e-05,6,6.00178249321033e-06,3.08460703123378
"SMP_157",25.240229845047,1.46577501635668e-05,7,3.55122646250869e-06,1.82514746713163
"SMP_157",28.3945298194885,1.47901027306085e-05,8,3.69562434209898e-06,1.89936053886213
"SMP_157",31.5488297939301,1.40040680890124e-05,9,2.92162760968917e-06,1.50156608935581
"SMP_157",34.7050797939301,1.38360079511003e-05,10,2.76560528918344e-06,1.42137865380548
"SMP_157",37.8593699932098,1.53361370961883e-05,11,4.27775712455263e-06,2.19854680159317
"SMP_157",41.0136699676514,1.26383877609235e-05,12,1.59202274323457e-06,0.818217680034373
"SMP_157",44.1699199676514,1.32521760891876e-05,13,2.21782554888874e-06,1.13984808511327
"SMP_157",47.3242199420929,1.61959688500933e-05,14,5.17361734136894e-06,2.65897280452153
"SMP_157",50.4785199165344,1.42848925547496e-05,15,3.27453193375238e-06,1.68294073273711
"SMP_157",53.6347699165344,1.4400489186053e-05,16,3.40211859076196e-06,1.74851370205891
"SMP_157",56.7890598773956,1.30539311358128e-05,17,2.06753472716254e-06,1.06260634468849
"SMP_157",59.9433598518372,1.19878666932606e-05,18,1.01343599518784e-06,0.520853896321341
"SMP_157",63.0996098518372,1.36789080834643e-05,19,2.71644184779765e-06,1.39611117749326
"SMP_157",66.2539098262787,1.36636826269463e-05,20,2.71316469805698e-06,1.39442689134262
"SMP_157",69.4082000255585,1.33011083521971e-05,21,2.3625298087663e-06,1.21421862052883
"SMP_157",72.5625,1.39770481698458e-05,22,3.05040004116668e-06,1.56774848567122
"SMP_157",75.71875,1.58188517187455e-05,23,4.90413224073723e-06,2.52047134480324
"SMP_157",78.8730499744415,1.42813973039353e-05,24,3.37858984931095e-06,1.73642114099093
"SMP_157",82.0273399353027,1.36495929049041e-05,25,2.75868805792915e-06,1.41782355326863
"SMP_157",85.1835899353027,1.51318481039386e-05,26,4.25284375058e-06,2.18574261073576
"SMP_157",88.3378899097443,1.40115987835066e-05,27,3.14447794351697e-06,1.61609968123716
"SMP_157",91.4921898841858,1.1903443291845e-05,28,1.04819621701831e-06,0.538718859736261
"SMP_157",94.6484398841858,1.31191262434527e-05,29,2.27575039351475e-06,1.16961847136413
"SMP_157",97.802729845047,1.19576875248729e-05,30,1.1261655296872e-06,0.57879107000896
"SMP_157",100.958979845047,1.16648005505183e-05,31,8.4512964808951e-07,0.434353103890411
