"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210110",6.30859994888306,4.20976219841416e-07,1,-2.75036626620722e-07,-1.0727480499709
"SMP_210110",9.46484994888306,1.25357872516703e-06,2,5.57642033259725e-07,2.17501723719916
"SMP_210110",12.6191399097443,1.01307658661758e-06,3,3.17215877258466e-07,1.23726326173312
"SMP_210110",15.7753899097443,7.47684711926568e-07,4,5.18999075063798e-08,0.202429491865155
"SMP_210110",18.9296898841858,7.92475538081149e-07,5,9.67664669245712e-08,0.377426235812065
"SMP_210110",22.0839898586273,8.2249750492203e-07,6,1.26864042256712e-07,0.494818292437782
"SMP_210110",25.2382798194885,1.03056618937514e-06,7,3.35008210157366e-07,1.30666016590635
"SMP_210110",28.3925797939301,1.10309646787735e-06,8,4.07613847510729e-07,1.58984992446575
"SMP_210110",31.5488297939301,9.41521467205726e-07,9,2.46114127294024e-07,0.959939239252807
"SMP_210110",34.7031297683716,1.07949952217998e-06,10,3.84167291273976e-07,1.49839938643907
"SMP_210110",37.8593797683716,6.65000868208725e-07,11,-3.02563323062154e-08,-0.11801126955183
"SMP_210110",41.0136699676514,1.37071252849861e-06,12,6.75530186784317e-07,2.63482613015279
"SMP_210110",44.1679699420929,1.26130499042858e-06,13,5.66197382751194e-07,2.20838637278141
"SMP_210110",47.3242199420929,9.70637464247956e-07,14,2.75604511665122e-07,1.07496301886967
"SMP_210110",50.4785199165344,8.12359173494207e-07,15,1.17400704783326e-07,0.45790765640533
"SMP_210110",53.632819890976,1.09165376474226e-06,16,3.967696548116e-07,1.54755342485248
"SMP_210110",56.789069890976,9.14331275157447e-07,17,2.19521444736757e-07,0.856217605129719
"SMP_210110",59.9433598518372,8.05493235692916e-07,18,1.10757513460734e-07,0.431996669114456
"SMP_210110",63.0976598262787,8.51924279671044e-07,19,1.57262540675281e-07,0.613384064208728
"SMP_210110",66.2519598007202,9.27891330041055e-07,20,2.33303449062229e-07,0.909972693848243
"SMP_210110",69.4082098007202,5.22035501569974e-07,21,-1.72478601099609e-07,-0.672732520263444
"SMP_210110",72.5625,4.19494648960978e-07,22,-2.74945846531807e-07,-1.07239397289922
"SMP_210110",75.7167999744415,4.823278409924e-07,23,-2.12039172410583e-07,-0.827033880962236
