"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_100",3.15527009963989,9.84326304575431e-06,1,3.76232742995991e-06,2.92575392227828
"SMP_100",6.31054997444153,9.81086302248821e-06,2,3.7394797039727e-06,2.90798650964165
"SMP_100",9.46484017372131,1.0181479589474e-05,3,4.11960083868215e-06,3.20358568901156
"SMP_100",12.6201200485229,9.31775341037197e-06,4,3.26533693965667e-06,2.53927190990457
"SMP_100",15.7744100093842,1.00455753480611e-05,5,4.00257241115328e-06,3.1125791545632
"SMP_100",18.9296901226044,8.55979210607654e-06,6,2.5261593436203e-06,1.96445438242354
"SMP_100",22.0839800834656,5.11818250179987e-06,7,-9.06129848525343e-07,-0.704647058973466
"SMP_100",25.2392599582672,5.23127700183172e-06,8,-7.83759370215296e-07,-0.609486307137865
"SMP_100",28.3945300579071,4.1660156270724e-06,9,-1.8397926839201e-06,-1.43070499879791
"SMP_100",31.549800157547,4.27747986028246e-06,10,-1.7191488005104e-06,-1.33688692430656
"SMP_100",34.7041001319885,4.34248716371801e-06,11,-1.64501357994559e-06,-1.2792360641982
"SMP_100",37.8593800067902,4.2310422582486e-06,12,-1.74737718090835e-06,-1.35883857423772
"SMP_100",41.0146501064301,3.9700113721855e-06,13,-1.99937676869803e-06,-1.55480471384509
"SMP_100",44.1689500808716,4.38010192384011e-06,14,-1.58030817267244e-06,-1.22891824825945
"SMP_100",47.3242201805115,5.58236517569365e-06,15,-3.69115130148275e-07,-0.287040418439891
"SMP_100",50.4794900417328,3.38519195228264e-06,16,-2.55741010874544e-06,-1.9887563737683
"SMP_100",53.6337900161743,4.29222382639774e-06,17,-1.64155476243116e-06,-1.27654633314802
"SMP_100",56.7880899906158,4.50483125872e-06,18,-1.42017641548731e-06,-1.10439263867669
"SMP_100",59.9433600902557,4.50724973916856e-06,19,-1.40903742694754e-06,-1.09573046346277
"SMP_100",63.0986301898956,4.1776630328736e-06,20,-1.72995725978628e-06,-1.34529206519578
"SMP_100",66.2529301643372,4.79373691684907e-06,21,-1.10527329913686e-06,-0.859509904530982
"SMP_100",69.4082000255585,3.54842773774981e-06,22,-2.34202442512864e-06,-1.82126284207131
"SMP_100",72.5634801387787,4.51097828985833e-06,23,-1.37097099416799e-06,-1.06612830440425
"SMP_100",75.71875,4.7563069080996e-06,24,-1.11719524902772e-06,-0.868780945476709
"SMP_100",78.8730499744415,4.10874295749676e-06,25,-1.75637088995573e-06,-1.36583248426045
"SMP_100",82.0283200740814,5.29185465691505e-06,26,-5.64925061278478e-07,-0.439310970296495
"SMP_100",85.1835901737213,5.03852236294526e-06,27,-8.09980517399358e-07,-0.629877042832345
"SMP_100",88.3378901481628,5.50192829864981e-06,28,-3.38358075795868e-07,-0.263122358652565
"SMP_100",91.4921901226044,5.8056266034968e-06,29,-2.6501565316821e-08,-0.0206088013644866
"SMP_100",94.6474599838257,6.18106627971725e-06,30,3.57039975613934e-07,0.277650238717724
"SMP_100",97.8027300834656,4.31263867328329e-06,31,-1.50334514635248e-06,-1.16906836004055
"SMP_100",100.957030057907,5.22753345836218e-06,32,-5.80470225184875e-07,-0.451399584357415
"SMP_100",104.112300157547,7.09792029276318e-06,33,1.29783878330188e-06,1.00925742945526
"SMP_100",107.267580032349,5.08942393963246e-06,34,-7.02796319506476e-07,-0.546525821220383
"SMP_100",110.42188000679,7.23688205140799e-06,35,1.45245915904898e-06,1.12949714256578
"SMP_100",113.57715010643,7.27031711080073e-06,36,1.49363200008042e-06,1.16151498348516
"SMP_100",116.732419967651,7.31852361729938e-06,37,1.54951377245001e-06,1.20497114665487
"SMP_100",119.887700080872,6.9627385746408e-06,38,1.20134098267009e-06,0.934216427855696
"SMP_100",123.041990041733,5.47323558170623e-06,39,-2.8061567668146e-07,-0.218219288987377
"SMP_100",126.197270154953,5.77821818464961e-06,40,3.18515559262943e-08,0.0247691931169889
"SMP_100",129.352540016174,6.44043662152728e-06,41,7.0148999325539e-07,0.545509963556732
"SMP_100",132.505860090256,6.61951962604812e-06,42,8.87923346297249e-07,0.690488869316544
"SMP_100",135.661130189896,6.75391314519736e-06,43,1.02960613026989e-06,0.800667732970541
"SMP_100",138.816410064697,6.65041910866459e-06,44,9.33335209031922e-07,0.725803162925313
"SMP_100",141.971680164337,6.40007567430688e-06,45,6.90148173242079e-07,0.536690057525833
"SMP_100",145.125980138779,6.56798973297273e-06,46,8.6514924451759e-07,0.672778710153466
"SMP_100",148.28125,7.85262291795565e-06,47,2.15680389262813e-06,1.67722707975713
"SMP_100",151.43652009964,6.91272583980748e-06,48,1.22386001672833e-06,0.951728234961365
"SMP_100",154.591799974442,6.81941695769244e-06,49,1.13743557422833e-06,0.884520726754727
"SMP_100",157.746090173721,6.21058508029461e-06,50,5.35416703024442e-07,0.41636395239097
"SMP_100",160.901370048523,5.9264836416707e-06,51,2.58060590097658e-07,0.200679445826893
"SMP_100",164.056640148163,6.46820864541657e-06,52,8.06460547513212e-07,0.627139756965442
"SMP_100",167.210940122604,5.76166222450332e-06,53,1.06516187248603e-07,0.0828317466861331
"SMP_100",170.365230083466,6.08977678820709e-06,54,4.41161439133396e-07,0.343066847564679
"SMP_100",173.520509958267,5.74901426248839e-06,55,1.06859743884212e-07,0.083098911677184
"SMP_100",176.675780057907,4.96364569502823e-06,56,-6.72120453702878e-07,-0.522670897276372
"SMP_100",179.830080032349,4.81884039224747e-06,57,-8.10612280001602e-07,-0.63036832966101
"SMP_100",182.985350131989,6.86786452104597e-06,58,1.24465379308007e-06,0.967898404584465
"SMP_100",186.14063000679,7.13711036442173e-06,59,1.52006759209776e-06,1.18207248106407
"SMP_100",189.294919967651,7.43358907807002e-06,60,1.82263783088445e-06,1.41736461854405
"SMP_100",192.450200080872,6.30811461915124e-06,61,7.03181768160807e-07,0.546825563317061
"SMP_100",195.605470180511,6.15025464494239e-06,62,5.51264596125874e-07,0.428687982200852
"SMP_100",198.760740041733,6.09362997209137e-06,63,5.00506627764352e-07,0.389216317975662
"SMP_100",201.915040016174,6.44278706778428e-06,64,8.55452040305218e-07,0.665237730856036
"SMP_100",205.070310115814,6.68135767879434e-06,65,1.09973561823525e-06,0.855203556420715
"SMP_100",208.224610090256,6.54461805757513e-06,66,9.68629578875062e-07,0.753249641979904
"SMP_100",211.378910064697,6.69297074266157e-06,67,1.12253770720083e-06,0.872935479670121
"SMP_100",214.534180164337,7.99056288248207e-06,68,2.42560830194675e-06,1.88626139947822
"SMP_100",217.689450025558,5.72912094163695e-06,69,1.69565584207367e-07,0.131861775008614
"SMP_100",220.844730138779,7.05480476221638e-06,70,1.5005688912015e-06,1.16690941998324
"SMP_100",223.99902009964,6.20272685165241e-06,71,6.53728558782343e-07,0.508368537977874
"SMP_100",227.154299974442,6.48394331181227e-06,72,9.40103454340366e-07,0.73106645290386
