"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210111",9.46484017372131,1.70938243200548e-06,1,8.92522695319117e-07,2.31448493183888
"SMP_210111",12.6191401481628,1.19982536700338e-06,2,3.83023217918362e-07,0.993253696590343
"SMP_210111",15.7753901481628,9.15281526579013e-07,3,9.85366624057665e-08,0.255524729587183
"SMP_210111",18.9296901226044,1.03506816633091e-06,4,2.18380213507922e-07,0.566302365448675
"SMP_210111",22.0839800834656,7.81040908179697e-07,5,-3.55904716240617e-08,-0.0922930147579919
"SMP_210111",25.2402300834656,1.04488409153482e-06,6,2.28308981351693e-07,0.592049591470663
"SMP_210111",28.3945300579071,1.13897369987919e-06,7,3.22454486120541e-07,0.83618719528807
"SMP_210111",31.5507800579071,7.63097884218999e-07,8,-5.33657372870136e-08,-0.138387735656518
"SMP_210111",34.7050800323486,8.18946838309334e-07,9,2.5384361036913e-09,0.00658265850632366
"SMP_210111",37.8593702316284,7.13224681095459e-07,10,-1.03128840567712e-07,-0.267433140673965
"SMP_210111",41.0136702060699,5.50129822554938e-07,11,-2.66169157070763e-07,-0.690228390371938
"SMP_210111",44.1679701805115,4.95448745247511e-07,12,-3.2079603110358e-07,-0.831886498883351
"SMP_210111",47.3242201805115,7.59374648592828e-07,13,-5.68162301389626e-08,-0.147335534693044
"SMP_210111",50.4785101413727,8.64649497422727e-07,14,4.85121437991239e-08,0.125801423788028
"SMP_210111",53.6347601413727,8.08290070711127e-07,15,-7.79406388301333e-09,-0.0202115234824075
"SMP_210111",56.7890601158142,9.54584848222021e-07,16,1.38553560560248e-07,0.359296329215094
"SMP_210111",59.9433600902557,7.71362199636085e-07,17,-4.46165802925594e-08,-0.115699469984219
"SMP_210111",63.0996100902557,6.96008068776026e-07,18,-1.19918510559794e-07,-0.310972020313689
"SMP_210111",66.2539000511169,4.44697434322629e-07,19,-3.71177316314136e-07,-0.962534969872448
"SMP_210111",69.4082000255585,5.73230808263333e-07,20,-2.42592452970363e-07,-0.629089411308455
"SMP_210111",72.5644500255585,4.22511993400735e-07,21,-3.93260086461799e-07,-1.01979988764774
"SMP_210111",75.71875,7.0818074733301e-07,22,-1.07540522520332e-07,-0.278873489986038
"SMP_210111",78.8730401992798,8.70945292203123e-07,23,5.52744924802153e-08,0.143337509098027
"SMP_210111",82.0273401737213,7.61147871246774e-07,24,-5.4472797998898e-08,-0.141258559389881
"SMP_210111",85.1835901737213,1.63549692875772e-06,25,8.19926080767871e-07,2.12622779130611
"SMP_210111",88.3378901481628,6.46748468529694e-07,26,-1.68772929075155e-07,-0.437661029008447
"SMP_210111",91.4921901226044,6.00880971680262e-07,27,-2.14591315611542e-07,-0.556477016317006
"SMP_210111",94.6484401226044,6.620562407762e-07,28,-1.53367246316708e-07,-0.397711097431226
"SMP_210111",97.8027300834656,9.18434398913538e-07,29,1.03059341364432e-07,0.26725291572326
"SMP_210111",100.957030057907,5.773951894584e-07,30,-2.3793177872639e-07,-0.617003376559468
"SMP_210111",104.113280057907,9.69062586812536e-07,31,1.5378339698469e-07,0.398790257048647
"SMP_210111",107.267580032349,9.18265911967333e-07,32,1.03034130363965e-07,0.26718753869587
"SMP_210111",110.421870231628,5.93829411237798e-07,33,-2.21355302882016e-07,-0.574017350807958
"SMP_210111",113.578120231628,9.11453757175997e-07,34,9.63157987850449e-08,0.249765598292498
"SMP_210111",116.73242020607,5.82739732245642e-07,35,-2.32351840179003e-07,-0.602533510687994
"SMP_210111",119.886720180511,5.46360566129618e-07,36,-2.68684961186127e-07,-0.696752359730931
"SMP_210111",123.041010141373,9.7951426413472e-07,37,1.64514440838662e-07,0.426617940796274
"SMP_210111",126.197260141373,8.31217245013795e-07,38,1.62628127896659e-08,0.042172636447682
"SMP_210111",129.351560115814,8.98510388194979e-07,39,8.3600977774169e-08,0.216793594560785
