"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210129",9.46386003494263,9.45310125452181e-07,1,-6.36085291020078e-08,-0.109709347672715
"SMP_210129",12.6191399097443,1.15525933319453e-06,2,1.47030207340754e-07,0.253591591619261
"SMP_210129",15.7744100093842,1.27620021836952e-06,3,2.6865852349813e-07,0.463371056928972
"SMP_210129",18.9287099838257,2.26393970798553e-06,4,1.25708313385638e-06,2.16816474980245
"SMP_210129",22.083979845047,1.39384908809849e-06,5,3.87675741576051e-07,0.668647008778296
"SMP_210129",25.2392599582672,7.91797478414185e-07,6,-2.13694746683407e-07,-0.368571818759173
"SMP_210129",28.3945300579071,1.02067222164486e-06,7,1.58590031438329e-08,0.0273529495841546
"SMP_210129",31.5488300323486,1.42757829571077e-06,8,4.23441759079503e-07,0.730334749472032
"SMP_210129",34.7040998935699,1.1928521913238e-06,9,1.89390423749865e-07,0.326652732556285
"SMP_210129",37.8593699932098,1.23056954737363e-06,10,2.27780423431549e-07,0.392866208668568
"SMP_210129",41.0136699676514,1.33890547779047e-06,11,3.36786661902508e-07,0.580875638909078
"SMP_210129",44.1679699420929,9.5740803283488e-07,12,-4.40426077051517e-08,-0.0759628595308138
"SMP_210129",47.3232400417328,1.4967218625802e-06,13,4.95937464929571e-07,0.855372330283392
"SMP_210129",50.4785099029541,7.66535518174543e-07,14,-2.33584779196724e-07,-0.402877320285951
"SMP_210129",53.6328098773956,1.39585101040328e-06,15,3.96392463335113e-07,0.68368124823536
"SMP_210129",56.7880799770355,1.1182808434314e-06,16,1.19482099420497e-07,0.206077759870343
"SMP_210129",59.9433598518372,1.33690405523021e-06,17,3.38762960937508e-07,0.584284277357364
"SMP_210129",63.0976500511169,8.11493645991461e-07,18,-1.85992163501071e-07,-0.32079155449761
"SMP_210129",66.2529299259186,1.00670850327501e-06,19,9.8760205924385e-09,0.0170337499089337
"SMP_210129",69.4082000255585,1.13667629989804e-06,20,1.40494973811688e-07,0.242319892407149
"SMP_210129",72.5634698867798,9.26302164951975e-07,21,-6.92301770449934e-08,-0.11940533243101
