"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210163",6.30859994888306,4.96802952212778e-06,1,-2.74708410471155e-06,-0.428711874154672
"SMP_210163",9.46484994888306,3.57003188904018e-06,2,-4.15186291737299e-06,-0.647942641977158
"SMP_210163",12.6191399097443,7.00574681350868e-06,3,-7.22936738933594e-07,-0.112822015063871
"SMP_210163",15.7734398841858,7.60816702771268e-06,4,-1.27317035666493e-07,-0.0198691859775187
"SMP_210163",18.9296898841858,6.31293843915392e-06,5,-1.42936206293061e-06,-0.223067247119801
"SMP_210163",22.0839898586273,8.46578472627622e-06,6,7.16660311152835e-07,0.111842511337622
"SMP_210163",25.2382800579071,7.18280081598817e-06,7,-5.73159142468163e-07,-0.0894476181981374
"SMP_210163",28.3945300579071,1.06416134630172e-05,8,2.8788020825882e-06,0.449267874263483
"SMP_210163",31.5488300323486,5.41135878925092e-06,9,-2.35831137396284e-06,-0.368039728830236
"SMP_210163",34.7031300067902,7.32139332458595e-06,10,-4.55147181028671e-07,-0.0710305886377316
"SMP_210163",37.8574199676514,2.22993573324529e-06,11,-5.55348662190082e-06,-0.86668102140906
"SMP_210163",41.0136699676514,8.71313904810925e-06,12,9.22819058114195e-07,0.144015790135893
"SMP_210163",44.1679699420929,6.23310933501529e-06,13,-1.56411549955163e-06,-0.244096963051505
"SMP_210163",47.3222699165344,7.50935719152822e-06,14,-2.94783924727144e-07,-0.0460041862656089
"SMP_210163",50.4785199165344,6.70001718092607e-06,15,-1.11105590981462e-06,-0.173392165376482
"SMP_210163",53.6328098773956,5.71523449889726e-06,16,-2.10277764088109e-06,-0.328160955031018
"SMP_210163",56.7890598773956,6.43652555174659e-06,17,-1.38844130464953e-06,-0.216681124851312
"SMP_210163",59.9433598518372,7.08284416955351e-06,18,-7.49084424730491e-07,-0.11690264126806
"SMP_210163",63.0976598262787,7.50838602991451e-06,19,-3.30515586235302e-07,-0.0515804944483653
"SMP_210163",66.2539098262787,3.63477161419483e-06,20,-4.21111859841442e-06,-0.657190125164883
"SMP_210163",69.4082000255585,5.19746622536431e-06,21,-2.65541947043825e-06,-0.414406626970718
"SMP_210163",72.5625,7.18498604257452e-06,22,-6.74906350181579e-07,-0.105326358872298
"SMP_210163",75.7167999744415,5.02579512384051e-06,23,-2.8411151273475e-06,-0.443386421567981
"SMP_210163",78.8730499744415,3.79958755367599e-06,24,-4.0743560356429e-06,-0.635846863595492
"SMP_210163",82.0273499488831,5.51784536566691e-06,25,-2.36313832003297e-06,-0.368793025423019
"SMP_210163",85.1816399097443,7.0408494993474e-06,26,-8.47185329930345e-07,-0.132212337411824
"SMP_210163",88.3378899097443,1.01116213041638e-05,27,2.21651990061575e-06,0.345911651945539
"SMP_210163",91.4921898841858,7.70153014369732e-06,28,-2.00644479929049e-07,-0.0313127184135501
"SMP_210163",94.6464898586273,7.27416145652717e-06,29,-6.35097364897094e-07,-0.0991137406782513
"SMP_210163",97.8027398586273,6.22331663146502e-06,30,-1.69304172453861e-06,-0.264217280244217
"SMP_210163",100.957030057907,7.92378601807445e-06,31,3.21615993699218e-10,5.01916177886321e-05
"SMP_210163",104.111330032349,6.30331611790397e-06,32,-1.62726523809888e-06,-0.253952155587668
"SMP_210163",107.267580032349,4.61142071162971e-06,33,-3.32629286336234e-06,-0.519103599701806
"SMP_210163",110.42188000679,4.03501670446129e-06,34,-3.9098355109551e-06,-0.610171675000119
"SMP_210163",113.576169967651,9.26513732666067e-06,35,1.31313569957278e-06,0.204928879249718
"SMP_210163",116.730469942093,8.61688690274546e-06,36,6.57725077966083e-07,0.102645037467091
"SMP_210163",119.886719942093,8.02965786180723e-06,37,6.3320670148615e-08,0.00988186824188732
"SMP_210163",123.041019916534,1.3815431607464e-05,38,5.84191277668646e-06,0.911693009633701
"SMP_210163",126.195309877396,8.89079007498124e-06,39,9.10078956473089e-07,0.142027560928745
"SMP_210163",129.351559877396,7.96780664240589e-06,40,-2.01118837242344e-08,-0.0031386746948917
"SMP_210163",132.505859851837,8.49149412165636e-06,41,4.96362027368068e-07,0.0774626064950863
"SMP_210163",135.662109851837,7.290252972725e-06,42,-7.12107738622764e-07,-0.111132033672142
"SMP_210163",138.816409826279,1.01621134697539e-05,43,2.15251805519254e-06,0.335923479012035
"SMP_210163",141.970700025558,9.48139667792164e-06,44,1.4645560642933e-06,0.228559647682756
"SMP_210163",145.126950025558,1.09404221085962e-05,45,2.91632129695912e-06,0.455123149201072
"SMP_210163",148.28125,9.78462567343487e-06,46,1.75325868905425e-06,0.273614782005859
"SMP_210163",151.435549974442,1.0879586636903e-05,47,2.84094305333574e-06,0.443359567576891
"SMP_210163",154.589849948883,1.56521415272891e-05,48,7.60621094871217e-06,1.18703062110309
"SMP_210163",157.746099948883,1.39769049602019e-05,49,5.92367250689854e-06,0.924452490535464
"SMP_210163",160.900389909744,2.26647426714211e-05,50,1.46042025401585e-05,2.27914210227036
"SMP_210163",164.054689884186,1.1087470888986e-05,51,3.01961275263806e-06,0.471242886296975
"SMP_210163",167.210939884186,6.25985295529134e-06,52,-1.81533799306498e-06,-0.283302921776685
"SMP_210163",170.365239858627,1.00794858834597e-05,53,1.99695640766864e-06,0.311646419077037
"SMP_210163",173.519530057907,5.09948411163182e-06,54,-2.99039408086858e-06,-0.466682999865714
"SMP_210163",176.675780057907,8.10074754501102e-06,55,3.50587908457358e-09,0.000547129951474502
"SMP_210163",179.830080032349,8.63176490451214e-06,56,5.27154160584611e-07,0.0822680484245281
"SMP_210163",182.98438000679,8.85362485663991e-06,57,7.41634914526529e-07,0.115740065475204
"SMP_210163",186.14063000679,7.35469604053524e-06,58,-7.64687760588028e-07,-0.119337708817348
"SMP_210163",189.294919967651,9.12449578497265e-06,59,9.97712654451216e-07,0.155703737364287
