"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_100",3.15527009963989,1.52159192100074e-05,1,4.39124446749961e-06,1.60760980661563
"SMP_100",6.31054997444153,1.05894913734172e-05,2,-2.38748629558518e-07,-0.0874045253082577
"SMP_100",9.46484017372131,1.36001118146052e-05,3,2.76833108015719e-06,1.01347037846736
"SMP_100",12.6201200485229,1.58097238124324e-05,4,4.97442469574484e-06,1.82110879554466
"SMP_100",15.7744100093842,1.80032283994697e-05,5,7.16443549923483e-06,2.62285938591645
"SMP_100",18.9296901226044,1.50126699019476e-05,6,4.17040566576501e-06,1.52676196815494
"SMP_100",22.0839800834656,1.20221114044254e-05,7,1.17640050062761e-06,0.430673581330656
"SMP_100",25.2392599582672,1.58792964385548e-05,8,5.03016141395268e-06,1.84151369339143
"SMP_100",28.3945300579071,1.50323553817566e-05,9,4.17981992112775e-06,1.53020847389042
"SMP_100",31.549800157547,1.26872703139209e-05,10,1.83135813349276e-06,0.670449872836307
"SMP_100",34.7041001319885,1.2421733610326e-05,11,1.56246949567263e-06,0.572011260673752
"SMP_100",37.8593800067902,1.21561969067311e-05,12,1.29360361341554e-06,0.473580979194349
"SMP_100",41.0146501064301,1.07444551416101e-05,13,-1.21443477518783e-07,-0.0444597714505898
"SMP_100",44.1689500808716,1.04791699212986e-05,14,-3.90009133807901e-07,-0.142780141898193
"SMP_100",47.3242201805115,1.09768220201646e-05,15,1.04385443161525e-07,0.0382149213819422
"SMP_100",50.4794900417328,9.70911522692295e-06,16,-1.16655490296469e-06,-0.427069163614435
"SMP_100",53.6337900161743,1.4801218977502e-05,17,3.92234028846519e-06,1.43594663410089
"SMP_100",56.7880899906158,1.16626227522567e-05,18,7.80559542226947e-07,0.285758441375493
"SMP_100",59.9433600902557,1.23441823918181e-05,19,1.45895777270205e-06,0.534116203320699
"SMP_100",63.0986301898956,1.2005160451188e-05,20,1.1167985601064e-06,0.408853647417984
"SMP_100",66.2529301643372,1.0689467046345e-05,21,-2.02006984049838e-07,-0.0739536163306068
"SMP_100",69.4082000255585,1.13105014138877e-05,22,4.15938504831248e-07,0.15227273823279
"SMP_100",72.5634801387787,1.14101081922934e-05,23,5.1248065804497e-07,0.187616275448003
"SMP_100",75.71875,1.16238886342715e-05,24,7.23220790310329e-07,0.264767048033017
"SMP_100",78.8730499744415,1.15955845282804e-05,25,6.91901645503486e-07,0.253301285946908
"SMP_100",82.0283200740814,1.10208497440015e-05,26,1.14175281031252e-07,0.0417989257526922
"SMP_100",85.1835901737213,1.31995380898929e-05,27,2.28989647848582e-06,0.838318172033933
"SMP_100",88.3378901481628,1.19632693552928e-05,28,1.05068597029457e-06,0.3846502015591
"SMP_100",91.4921901226044,1.2048546183099e-05,29,1.13304552536913e-06,0.414801569670416
"SMP_100",94.6474599838257,1.47209148346851e-05,30,3.80252056145847e-06,1.39208130854508
"SMP_100",97.8027300834656,1.28724652929123e-05,31,1.95120200407794e-06,0.714324037219878
"SMP_100",100.957030057907,1.65624728788573e-05,32,5.63836608736322e-06,2.06417399040763
"SMP_100",104.112300157547,1.5564815376578e-05,33,4.63788888838109e-06,1.69790493654764
"SMP_100",107.267580032349,1.11217920336135e-05,34,1.92070566472275e-07,0.0703159499564062
"SMP_100",110.42188000679,1.25904017265881e-05,35,1.65791090559419e-06,0.606951821984495
"SMP_100",113.57715010643,1.10064433793051e-05,36,7.12071594715819e-08,0.0260685390474149
"SMP_100",116.732419967651,1.17070760142624e-05,37,7.69119248443719e-07,0.281570214413274
"SMP_100",119.887700080872,1.40723941359531e-05,38,3.13174171017176e-06,1.14651295830178
"SMP_100",123.041990041733,1.14518573673136e-05,39,5.08535052745486e-07,0.186171811624722
"SMP_100",126.197270154953,9.54212366963037e-06,40,-1.40384439665613e-06,-0.513939507520027
"SMP_100",129.352540016174,1.12794351522065e-05,41,3.30846363849992e-07,0.121120985849193
"SMP_100",132.505860090256,1.09547193724483e-05,42,3.53652135750452e-09,0.00129470050180721
"SMP_100",135.661130189896,1.05113493159378e-05,43,-4.42404104636821e-07,-0.161961644897017
"SMP_100",138.816410064697,1.03679206849934e-05,44,-5.88378165639449e-07,-0.215401924461537
"SMP_100",141.971680164337,1.08114095006085e-05,45,-1.4740958279048e-07,-0.0539658159861069
"SMP_100",145.125980138779,8.73552785194251e-06,46,-2.2257854695252e-06,-0.814847493623768
"SMP_100",148.28125,9.65722704251563e-06,47,-1.30655601429183e-06,-0.478322780025993
"SMP_100",151.43652009964,7.74706174573099e-06,48,-3.21916573096604e-06,-1.17851839871915
"SMP_100",154.591799974442,6.62188155938097e-06,49,-4.34676498692841e-06,-1.59132611990935
"SMP_100",157.746090173721,7.03588372109279e-06,50,-3.93515574804011e-06,-1.44063830149527
"SMP_100",160.901370048523,5.68623777183609e-06,51,-5.28716993283243e-06,-1.93560306108498
"SMP_100",164.056640148163,8.92461887067817e-06,52,-2.05113157814672e-06,-0.750907690084772
"SMP_100",167.210940122604,6.32962151599394e-06,53,-4.64844544236098e-06,-1.70176963135745
"SMP_100",170.365230083466,7.20529363838054e-06,54,-3.77506426981324e-06,-1.3820297151918
"SMP_100",173.520509958267,7.63201079214795e-06,55,-3.35061317844965e-06,-1.22664056709152
"SMP_100",176.675780057907,7.76578715522307e-06,56,-3.21907721836327e-06,-1.17848599475502
"SMP_100",179.830080032349,6.65763244997285e-06,57,-4.3294459551674e-06,-1.58498572016478
"SMP_100",182.985350131989,6.25482671871751e-06,58,-4.73444066633734e-06,-1.73325199732675
"SMP_100",186.14063000679,5.98773322358243e-06,59,-5.00369736942311e-06,-1.83182535610496
"SMP_100",189.294919967651,7.22227858264614e-06,60,-3.77128873091556e-06,-1.38064751171802
"SMP_100",192.450200080872,6.63425246274012e-06,61,-4.36142638319614e-06,-1.59669357430483
"SMP_100",195.605470180511,6.74934348360175e-06,62,-4.24842098307055e-06,-1.55532293534656
"SMP_100",198.760740041733,6.89482307646654e-06,63,-4.10500106379635e-06,-1.50281771264815
"SMP_100",201.915040016174,5.40363853133986e-06,64,-5.59821867230289e-06,-2.04947624842607
"SMP_100",205.070310115814,7.19109587346187e-06,65,-3.81276899167303e-06,-1.39583320098407
"SMP_100",208.224610090256,6.77545469398052e-06,66,-4.23039115413373e-06,-1.54872231676908
"SMP_100",211.378910064697,9.40046175005307e-06,67,-1.60733898175408e-06,-0.588437726195363
"SMP_100",214.534180164337,8.15833147342046e-06,68,-2.85139858990903e-06,-1.04388092478892
"SMP_100",217.689450025558,6.73117848583743e-06,69,-4.28045470935259e-06,-1.56705030167622
"SMP_100",220.844730138779,7.29092069807289e-06,70,-3.72258939342381e-06,-1.36281895921842
"SMP_100",223.99902009964,7.04435227769444e-06,71,-3.97100784962404e-06,-1.45376355346443
