"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_99",28.39404296875,1.26019880336064e-05,1,5.8719203341339e-06,0.81031064940406
"SMP_99",31.5488278865814,2.27699729890848e-05,2,1.60211197004208e-05,2.2108753473991
"SMP_99",34.7041008472443,2.28697365033812e-05,3,1.61021054816416e-05,2.22205118719925
"SMP_99",37.8588869571686,1.84971733681892e-05,4,1.17107778684861e-05,1.61605871327601
"SMP_99",41.013671875,1.58025110381952e-05,5,8.99736102178142e-06,1.24161382267081
"SMP_99",44.1689448356628,1.56436064546444e-05,6,8.81970857379965e-06,1.21709821920537
"SMP_99",47.3237299919128,1.41560046372536e-05,7,7.31337093968708e-06,1.00922730865774
"SMP_99",50.47900390625,9.92210539311826e-06,8,3.06074172397656e-06,0.422374874467598
"SMP_99",53.6337890625,1.31628285937529e-05,9,6.28274619798218e-06,0.867003614155596
"SMP_99",56.7890620231628,1.45107338704121e-05,10,7.61193779567842e-06,1.05042880479564
"SMP_99",59.9438469409943,1.18500710207445e-05,11,4.93257169956874e-06,0.680682834519275
"SMP_99",63.0986330509186,1.425552651913e-05,12,7.31933107905495e-06,1.01004979331811
"SMP_99",66.2539060115814,1.59583883789681e-05,13,9.00350066816612e-06,1.24246107886061
"SMP_99",69.40771484375,1.17089809964729e-05,14,4.73541601526741e-06,0.653475832126678
"SMP_99",72.5629880428314,1.60712299941961e-05,15,9.07898499717861e-06,1.25287773170694
"SMP_99",75.7177729606628,1.53889630388916e-05,16,8.37804644079807e-06,1.15614992470462
"SMP_99",78.873046875,1.18861722754506e-05,17,4.85658630409642e-06,0.670197035726591
"SMP_99",82.02783203125,1.10794318167696e-05,18,4.0311840824073e-06,0.556293547222413
"SMP_99",85.1831049919128,1.26626423184244e-05,19,5.59573425166131e-06,0.772197645291286
"SMP_99",88.3378899097443,7.95430206459501e-06,20,8.68740464394746e-07,0.119884060036574
"SMP_99",91.4926760196686,8.69221456525614e-06,21,1.58800293415283e-06,0.219140522283453
"SMP_99",94.6479489803314,1.04612701320641e-05,22,3.33840869947524e-06,0.460692238197224
"SMP_99",97.8027338981628,1.25515288219384e-05,23,5.41002317674259e-06,0.74656997101169
"SMP_99",100.958008050919,1.31177956774284e-05,24,5.95764523006777e-06,0.822140475447589
"SMP_99",104.11279296875,1.19719704506984e-05,25,4.7931799906636e-06,0.661447119499798
"SMP_99",107.26708984375,9.74515216161696e-06,26,2.5477260677998e-06,0.351579968226359
"SMP_99",110.421875,1.09954941444007e-05,27,3.77943062484086e-06,0.521552185609498
"SMP_99",113.576659917831,1.25998272953975e-05,28,5.36512704165463e-06,0.740374414139541
