"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210122",6.30956983566284,1.47009085753275e-05,1,3.78972396280339e-06,1.31603606461431
"SMP_210122",9.46386981010437,1.53532875140662e-05,2,4.44607400109404e-06,1.54396304026731
"SMP_210122",12.6191399097443,1.16300790270473e-05,3,7.26811138647269e-07,0.252395604537813
"SMP_210122",15.7734398841858,1.00439874963365e-05,4,-8.55362635985955e-07,-0.297036957923545
"SMP_210122",18.9287099838257,1.20853700079305e-05,5,1.1899122058098e-06,0.413214100008503
"SMP_210122",22.083979845047,1.25650081868199e-05,6,1.67341611246992e-06,0.58111777446925
"SMP_210122",25.2392599582672,1.47381112554509e-05,7,3.85035835193178e-06,1.33709222691849
"SMP_210122",28.3935499191284,1.25833353103212e-05,8,1.69939384857859e-06,0.590138916360215
"SMP_210122",31.5488297939301,1.60111511905683e-05,9,5.13099586689259e-06,1.78181199329951
"SMP_210122",34.7040998935699,9.48328742088543e-06,10,-1.39310824758355e-06,-0.483776843307444
"SMP_210122",37.8583998680115,1.27434389588091e-05,11,1.8707753634602e-06,0.649653608355248
"SMP_210122",41.0136699676514,1.41412736865918e-05,12,3.27231691067906e-06,1.136359036059
"SMP_210122",44.1689398288727,1.19908446029086e-05,13,1.12556827335032e-06,0.390869745515429
"SMP_210122",47.3242199420929,1.41381315915132e-05,14,3.27650938010376e-06,1.13781493126848
"SMP_210122",50.4775397777557,1.33856707034299e-05,15,2.52767405704194e-06,0.877771112436494
"SMP_210122",53.6328098773956,1.13327183325329e-05,16,4.78323227101606e-07,0.166104609092099
"SMP_210122",56.7880799770355,9.92400532467681e-06,17,-9.26814481562377e-07,-0.321849637312538
"SMP_210122",59.9423799514771,1.24738078782911e-05,18,1.62653607505916e-06,0.564838008304594
"SMP_210122",63.0976598262787,1.04257630310863e-05,19,-4.17985839270877e-07,-0.145151584753323
"SMP_210122",66.2529299259186,8.56272068647882e-06,20,-2.27753140543773e-06,-0.790905484744211
"SMP_210122",69.4081997871399,1.14341956670705e-05,21,5.97414242618909e-07,0.207460674317592
"SMP_210122",72.5625,1.42050571376014e-05,22,3.37171924811244e-06,1.17087792510033
"SMP_210122",75.7177698612213,7.16863937344549e-06,23,-3.66127996370545e-06,-1.2714320415363
"SMP_210122",78.8730499744415,9.00962531753475e-06,24,-1.81690146872285e-06,-0.630945124805659
"SMP_210122",82.0283198356628,8.37094654296385e-06,25,-2.45221368312588e-06,-0.851566414021111
"SMP_210122",85.1826198101044,1.06058120776069e-05,26,-2.14008558085772e-07,-0.0743175448505864
"SMP_210122",88.3369100093842,9.57065022579202e-06,27,-1.24585672794404e-06,-0.432641638654831
"SMP_210122",91.4921898841858,7.20768791775904e-06,28,-3.6055301918222e-06,-1.25207213271115
"SMP_210122",94.646479845047,6.53019335184946e-06,29,-4.27976278201904e-06,-1.48620908129802
"SMP_210122",97.8017599582672,1.07273920008244e-05,30,-7.93269453548755e-08,-0.0275474208695345
"SMP_210122",100.957029819489,1.21354254987415e-05,31,1.33191794659113e-06,0.462527632625867
"SMP_210122",104.112299919128,7.35436098193115e-06,32,-3.44596092628589e-06,-1.19665941391923
"SMP_210122",107.26659989357,1.02202425850178e-05,33,-5.7692036444781e-07,-0.200343880840891
"SMP_210122",110.42186999321,1.11208533745239e-05,34,3.26824674500461e-07,0.113494561258301
"SMP_210122",113.577149868011,1.13844397332377e-05,35,5.93519640193235e-07,0.206108217700744
"SMP_210122",116.731439828873,8.19271065289444e-06,36,-2.59512741583818e-06,-0.90119525987481
"SMP_210122",119.886719942093,1.16641173976972e-05,37,8.79336738065681e-07,0.305362309126783
"SMP_210122",123.041989803314,1.11318482719605e-05,38,3.5009945768947e-07,0.12157706393487
"SMP_210122",126.196289777756,9.06098392559635e-06,39,-1.71775948449936e-06,-0.596516647155003
"SMP_210122",129.350579977036,9.143807672678e-06,40,-1.63195581501584e-06,-0.566720090829294
"SMP_210122",132.505859851837,1.11318051072886e-05,41,3.58997025307086e-07,0.124666872054684
"SMP_210122",135.661129951477,1.32334043380121e-05,42,2.46352622981859e-06,0.855494858302636
"SMP_210122",138.815429925919,1.05717854087511e-05,43,-1.95189004768383e-07,-0.0677821847217989
"SMP_210122",141.97069978714,1.23213235585736e-05,44,1.55722837925405e-06,0.540769915712603
"SMP_210122",145.12597990036,9.96573352934056e-06,45,-7.95507730987379e-07,-0.276251482676445
"SMP_210122",148.28125,7.97883020236049e-06,46,-2.77958243975198e-06,-0.965249915610284
"SMP_210122",151.435549974442,9.45059928770439e-06,47,-1.30501085315387e-06,-0.453183758057444
"SMP_210122",154.590819835663,9.46562486915145e-06,48,-1.28720713101169e-06,-0.447001159891073
"SMP_210122",157.746089935303,8.73299546846005e-06,49,-2.01708358419082e-06,-0.700461238916449
"SMP_210122",160.900389909744,9.89888444367122e-06,50,-8.4846765692306e-07,-0.294642577435522
"SMP_210122",164.054689884186,1.03675831455066e-05,51,-3.77067115455451e-07,-0.130941970336114
"SMP_210122",167.209959983826,1.27388686807258e-05,52,1.99689599910662e-06,0.693450810112388
"SMP_210122",170.365229845047,1.17385257288833e-05,53,9.99205564053718e-07,0.346988480207206
"SMP_210122",173.519529819489,1.19296947607411e-05,54,1.19300127930498e-06,0.414286825137249
"SMP_210122",176.674799919128,9.81326357227155e-06,55,-9.20827410905263e-07,-0.31977054105553
"SMP_210122",179.83007979393,1.45928382046398e-05,56,3.86132476360023e-06,1.34090047084252
"SMP_210122",182.98436999321,9.96541569822007e-06,57,-7.63545928879024e-07,-0.26515228793891
"SMP_210122",186.139649868011,8.25193596017912e-06,58,-2.47449794712884e-06,-0.859304944686965
"SMP_210122",189.294919967651,8.64731019761404e-06,59,-2.07662086355583e-06,-0.721136414101347
"SMP_210122",192.450189828873,9.27403325568175e-06,60,-1.4474197925548e-06,-0.50263730718519
"SMP_210122",195.604489803314,9.12800076296387e-06,61,-1.59099982286596e-06,-0.552497534447792
"SMP_210122",198.759759902954,1.25455964815142e-05,62,1.82902434867404e-06,0.635154968947173
"SMP_210122",201.914059877396,7.78272534518581e-06,63,-2.93144380465178e-06,-1.01798595522459
"SMP_210122",205.069329977036,1.25344390971141e-05,64,1.8226489711542e-06,0.632941027556192
"SMP_210122",208.223629951477,1.40111638175959e-05,65,3.30172732621405e-06,1.1465722251723
"SMP_210122",211.378909826279,1.45825567414408e-05,66,3.87544998302406e-06,1.34580565611849
"SMP_210122",214.534179925919,1.52857397378683e-05,67,4.58093810146765e-06,1.59079653570273
"SMP_210122",217.68847990036,1.27356003907806e-05,68,2.03307860805805e-06,0.706015740634846
"SMP_210122",220.84375,9.45655008721095e-06,69,-1.2437156750475e-06,-0.431898127292064
"SMP_210122",223.999019861221,1.0241443563109e-05,70,-4.56590684261337e-07,-0.158557671522426
