"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_215",9.46484994888306,3.39394127291089e-05,1,2.88913040494387e-06,0.252590538670043
"SMP_215",12.6210999488831,2.84949257323251e-05,2,-2.49484041112364e-06,-0.218118601452937
"SMP_215",15.7734398841858,2.8846317014396e-05,3,-2.08315498851087e-06,-0.182125818821034
"SMP_215",18.9296898841858,2.74401748525461e-05,4,-3.42907556251711e-06,-0.299796797678056
"SMP_215",22.0859398841858,2.92381358840682e-05,5,-1.57104046069472e-06,-0.13735273269779
"SMP_215",25.2382800579071,2.80777796682221e-05,6,-2.67154435333604e-06,-0.233567452038626
"SMP_215",28.3945300579071,3.13224754337205e-05,7,6.32930370649814e-07,0.055335758811542
"SMP_215",31.5507800579071,4.04952411079696e-05,8,9.86532722621757e-06,0.862504618677796
"SMP_215",34.7031300067902,4.1614365051756e-05,9,1.10438610777118e-05,0.965541331690266
"SMP_215",37.8593800067902,3.70688034468575e-05,10,6.55763502293152e-06,0.573320110442018
"SMP_215",41.0156300067902,3.02719316143379e-05,11,-1.80049296264229e-07,-0.0157413277894002
"SMP_215",44.1679699420929,2.49123071116747e-05,12,-5.48070745721153e-06,-0.479166619319448
"SMP_215",47.3242199420929,2.34325909127539e-05,13,-6.90153229246908e-06,-0.603386318741584
"SMP_215",50.4765598773956,2.42063952883449e-05,14,-6.06905753066942e-06,-0.530604817376201
"SMP_215",53.6328098773956,2.13902700055367e-05,15,-8.82658794535639e-06,-0.771689848239784
"SMP_215",56.7890598773956,2.00594193725763e-05,16,-1.00989921796633e-05,-0.882933449566896
"SMP_215",59.9414098262787,2.53985865388336e-05,17,-4.70159911539133e-06,-0.41105083077424
"SMP_215",63.0976598262787,2.64660471575913e-05,18,-3.57598911292293e-06,-0.312641137542894
"SMP_215",66.2539098262787,3.07581565136174e-05,19,7.74120897720498e-07,0.0676797468942067
"SMP_215",69.4101598262787,3.2089659529701e-05,20,2.16347575275052e-06,0.189148092745037
"SMP_215",72.5625,3.04368745001664e-05,21,5.68322272154623e-07,0.0496872099009695
"SMP_215",75.71875,3.15581937674525e-05,22,1.74719567192716e-06,0.152753608898669
"SMP_215",78.875,3.10900132098192e-05,23,1.33642017148403e-06,0.116840378830606
"SMP_215",82.0273499488831,2.71205756629159e-05,24,-2.5758321368304e-06,-0.225199536113787
"SMP_215",85.1835999488831,2.95142366065106e-05,25,-1.25064361897125e-07,-0.0109341116918652
"SMP_215",88.3359398841858,2.57237725779417e-05,26,-3.85864136241862e-06,-0.337352823742396
"SMP_215",91.4921898841858,2.19625399763697e-05,27,-7.56306570391172e-06,-0.661222780695184
"SMP_215",94.6484398841858,2.45068172611627e-05,28,-4.96212966700966e-06,-0.433828463885113
"SMP_215",97.8007800579071,2.51601680041379e-05,29,-4.25233967500187e-06,-0.371773031524891
"SMP_215",100.957030057907,2.63424699423015e-05,30,-3.01367807492944e-06,-0.263479477084841
"SMP_215",104.113280057907,2.67283240914467e-05,31,-2.57161403147069e-06,-0.224830756115781
