"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_510158",12.6190178394318,2.51528828626797e-05,1,7.6175581886956e-06,2.80553847328574
"SMP_510158",15.7740478515625,2.0374201900166e-05,2,2.86531201437109e-06,1.05529132763507
"SMP_510158",18.9289548397064,1.58705209429451e-05,3,-1.6119786162948e-06,-0.593689987539615
"SMP_510158",22.0839838981628,1.33094007796341e-05,4,-4.14675089757978e-06,-1.52724388762226
"SMP_510158",25.2390139102936,1.97855961554745e-05,5,2.35574886866901e-06,0.867619770106671
"SMP_510158",28.39404296875,1.83383241923332e-05,6,9.34737755323583e-07,0.344262908143551
"SMP_510158",31.5489499568939,1.64050143857365e-05,7,-9.72355780747044e-07,-0.35811758637511
"SMP_510158",34.7039790153503,1.49278468775731e-05,8,-2.42334960201517e-06,-0.892517047361005
"SMP_510158",37.8590090274811,1.6260357096562e-05,9,-1.0647093201712e-06,-0.392131295437824
"SMP_510158",41.0140378475189,1.27428718979435e-05,10,-4.55610813083385e-06,-1.67800971556387
"SMP_510158",44.1689448356628,1.85655026749842e-05,11,1.2925643312537e-06,0.47605005051495
"SMP_510158",47.3239738941193,1.25847444163123e-05,12,-4.66219496512435e-06,-1.71708138232879
"SMP_510158",50.4780268669128,1.95329014635421e-05,13,2.31190925699117e-06,0.851473688361131
"SMP_510158",53.6329338550568,2.45625890188891e-05,14,7.36750722480732e-06,2.71344497270549
"SMP_510158",56.7879638671875,1.8183662416423e-05,15,1.01444821552563e-06,0.373620184751169
"SMP_510158",59.9429929256439,1.52553489144137e-05,16,-1.88804156469336e-06,-0.695363673988141
"SMP_510158",63.0980219841003,2.11333296789088e-05,17,4.01571902493082e-06,1.47898499010719
"SMP_510158",66.2530519962311,1.71257961712337e-05,18,3.39214204033639e-08,0.0124932225856004
"SMP_510158",69.407958984375,2.53184373986021e-05,19,8.25225358709856e-06,3.03929610465893
"SMP_510158",72.5629880428314,1.49815824947271e-05,20,-2.05895337849809e-06,-0.758310310861859
"SMP_510158",75.7180168628693,1.86164935755965e-05,21,1.60156160968546e-06,0.589853415229296
