"whale_index","Elapsed_DIV_Time","Ba_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_210127",12.6199948787689,7.02736075139753e-06,1,2.73739346731975e-06,1.48821401673619
"SMP_210127",15.7750239372253,6.69867009345607e-06,2,2.40558359897785e-06,1.30782193834006
"SMP_210127",18.9290769100189,7.55979423032495e-06,3,3.26358902443758e-06,1.77428600930721
"SMP_210127",22.0839838981628,7.95824128055155e-06,4,3.65891605595911e-06,1.98920989092262
"SMP_210127",25.2390129566193,9.1232997667763e-06,5,4.8208539430998e-06,2.62091018204399
"SMP_210127",28.39404296875,4.99897770319511e-06,6,6.93410823104879e-07,0.376980408049142
"SMP_210127",31.5490720272064,9.65306288248248e-06,7,5.34437449381694e-06,2.9055278780121
"SMP_210127",34.7039790153503,6.49769950734651e-06,8,2.18588928108152e-06,1.18838271003988
"SMP_210127",37.8590080738068,6.07925421848433e-06,9,1.76432158729538e-06,0.95919280424604
"SMP_210127",41.0140380859375,5.56670414237992e-06,10,1.24864866206189e-06,0.678841556043771
"SMP_210127",44.1690669059753,7.57436760282684e-06,11,3.25318883457987e-06,1.76863183189072
"SMP_210127",47.3239738941193,8.13313208582239e-06,12,3.80882971357951e-06,2.07071209703014
"SMP_210127",50.4790029525757,9.45653190829933e-06,13,5.12910537779253e-06,2.78849445930097
"SMP_210127",53.6340329647064,3.9047647995061e-06,14,-4.25786320345148e-07,-0.231483408445701
"SMP_210127",56.7879629135132,3.71045490124249e-06,15,-6.23220145135734e-07,-0.338820475235328
"SMP_210127",59.9429929256439,6.65489192355585e-06,16,2.3180914375517e-06,1.26025586406414
"SMP_210127",63.0980219841003,4.20394860324132e-06,17,-1.35977741737308e-07,-0.0739257924129315
"SMP_210127",66.2530510425568,3.51299386220068e-06,18,-8.3005875876433e-07,-0.45127055874698
"SMP_210127",69.4080810546875,2.23331024507368e-06,19,-2.11286906655348e-06,-1.1486844686058
"SMP_210127",72.5629880428314,2.61785169693173e-06,20,-1.73145459386421e-06,-0.941324302367816
"SMP_210127",75.7180171012878,6.34515606595904e-06,21,1.9927222678444e-06,1.08336534220345
"SMP_210127",78.8730459213257,7.2555661717449e-06,22,2.90000446266115e-06,1.57661926992013
"SMP_210127",82.0280759334564,5.20256307753286e-06,23,8.43873055692479e-07,0.458780852961262
